# Title : Global Land and Ocean Average Temperature Departures
# Unit  : Degrees Celsius                              
# Base period: 1901-2000                              
Year;Month;Anom
  1991;      5; 0.42                                           
  1991;      6; 0.53                                           
  1991;      7; 0.47                                           
  1991;      8; 0.4                                            
  1991;      9; 0.42                                           
  1991;     10; 0.32                                           
  1991;     11; 0.28                                           
  1991;     12; 0.28                                           
  1992;      1; 0.45                                           
  1992;      2; 0.43                                           
  1992;      3; 0.47                                           
  1992;      4; 0.27                                           
  1992;      5; 0.32                                           
  1992;      6; 0.27                                           
  1992;      7; 0.12                                           
  1992;      8; 0.12                                           
  1992;      9; 0.03                                           
  1992;     10; 0.07                                           
  1992;     11; 0.06                                           
  1992;     12; 0.19                                           
  1993;      1; 0.34                                           
  1993;      2; 0.39                                           
  1993;      3; 0.36                                           
  1993;      4; 0.29                                           
  1993;      5; 0.28                                           
  1993;      6; 0.28                                           
  1993;      7; 0.23                                           
  1993;      8; 0.19                                           
  1993;      9; 0.18                                           
  1993;     10; 0.25                                           
  1993;     11; 0.09                                           
  1993;     12; 0.22                                           
  1994;      1; 0.25                                           
  1994;      2; 0.05                                           
  1994;      3; 0.31                                           
  1994;      4; 0.37                                           
  1994;      5; 0.34                                           
  1994;      6; 0.39                                           
  1994;      7; 0.3                                            
  1994;      8; 0.26                                           
  1994;      9; 0.35                                           
  1994;     10; 0.42                                           
  1994;     11; 0.41                                           
  1994;     12; 0.35                                           
  1995;      1; 0.5                                            
  1995;      2; 0.73                                           
  1995;      3; 0.48                                           
  1995;      4; 0.47                                           
  1995;      5; 0.33                                           
  1995;      6; 0.46                                           
  1995;      7; 0.5                                            
  1995;      8; 0.5                                            
  1995;      9; 0.39                                           
  1995;     10; 0.42                                           
  1995;     11; 0.43                                           
  1995;     12; 0.29                                           
  1996;      1; 0.27                                           
  1996;      2; 0.48                                           
  1996;      3; 0.38                                           
  1996;      4; 0.33                                           
  1996;      5; 0.34                                           
  1996;      6; 0.28                                           
  1996;      7; 0.38                                           
  1996;      8; 0.43                                           
  1996;      9; 0.28                                           
  1996;     10; 0.21                                           
  1996;     11; 0.39                                           
  1996;     12; 0.36                                           
  1997;      1; 0.26                                           
  1997;      2; 0.35                                           
  1997;      3; 0.51                                           
  1997;      4; 0.39                                           
  1997;      5; 0.39                                           
  1997;      6; 0.57                                           
  1997;      7; 0.4                                            
  1997;      8; 0.46                                           
  1997;      9; 0.59                                           
  1997;     10; 0.62                                           
  1997;     11; 0.62                                           
  1997;     12; 0.56                                           
  1998;      1; 0.57                                           
  1998;      2; 0.79                                           
  1998;      3; 0.61                                           
  1998;      4; 0.71                                           
  1998;      5; 0.67                                           
  1998;      6; 0.69                                           
  1998;      7; 0.68                                           
  1998;      8; 0.7                                            
  1998;      9; 0.49                                           
  1998;     10; 0.42                                           
  1998;     11; 0.42                                           
  1998;     12; 0.56                                           
  1999;      1; 0.42                                           
  1999;      2; 0.64                                           
  1999;      3; 0.35                                           
  1999;      4; 0.35                                           
  1999;      5; 0.31                                           
  1999;      6; 0.39                                           
  1999;      7; 0.37                                           
  1999;      8; 0.37                                           
  1999;      9; 0.43                                           
  1999;     10; 0.34                                           
  1999;     11; 0.38                                           
  1999;     12; 0.44                                           
  2000;      1; 0.3                                            
  2000;      2; 0.54                                           
  2000;      3; 0.51                                           
  2000;      4; 0.58                                           
  2000;      5; 0.37                                           
  2000;      6; 0.4                                            
  2000;      7; 0.4                                            
  2000;      8; 0.43                                           
  2000;      9; 0.44                                           
  2000;     10; 0.29                                           
  2000;     11; 0.3                                            
  2000;     12; 0.28                                           
  2001;      1; 0.43                                           
  2001;      2; 0.43                                           
  2001;      3; 0.54                                           
  2001;      4; 0.51                                           
  2001;      5; 0.55                                           
  2001;      6; 0.53                                           
  2001;      7; 0.58                                           
  2001;      8; 0.52                                           
  2001;      9; 0.54                                           
  2001;     10; 0.47                                           
  2001;     11; 0.67                                           
  2001;     12; 0.58                                           
  2002;      1; 0.67                                           
  2002;      2; 0.65                                           
  2002;      3; 0.81                                           
  2002;      4; 0.52                                           
  2002;      5; 0.61                                           
  2002;      6; 0.54                                           
  2002;      7; 0.61                                           
  2002;      8; 0.54                                           
  2002;      9; 0.56                                           
  2002;     10; 0.56                                           
  2002;     11; 0.55                                           
  2002;     12; 0.48                                           
  2003;      1; 0.68                                           
  2003;      2; 0.59                                           
  2003;      3; 0.56                                           
  2003;      4; 0.56                                           
  2003;      5; 0.56                                           
  2003;      6; 0.47                                           
  2003;      7; 0.54                                           
  2003;      8; 0.61                                           
  2003;      9; 0.64                                           
  2003;     10; 0.71                                           
  2003;     11; 0.54                                           
  2003;     12; 0.71                                           
  2004;      1; 0.59                                           
  2004;      2; 0.68                                           
  2004;      3; 0.64                                           
  2004;      4; 0.58                                           
  2004;      5; 0.38                                           
  2004;      6; 0.41                                           
  2004;      7; 0.34                                           
  2004;      8; 0.48                                           
  2004;      9; 0.53                                           
  2004;     10; 0.6                                            
  2004;     11; 0.67                                           
  2004;     12; 0.51                                           
  2005;      1; 0.76                                           
  2005;      2; 0.61                                           
  2005;      3; 0.72                                           
  2005;      4; 0.66                                           
  2005;      5; 0.62                                           
  2005;      6; 0.64                                           
  2005;      7; 0.59                                           
  2005;      8; 0.57                                           
  2005;      9; 0.68                                           
  2005;     10; 0.7                                            
  2005;     11; 0.73                                           
  2005;     12; 0.7                                            
  2006;      1; 0.59                                           
  2006;      2; 0.74                                           
  2006;      3; 0.64                                           
  2006;      4; 0.53                                           
  2006;      5; 0.54                                           
  2006;      6; 0.61                                           
  2006;      7; 0.54                                           
  2006;      8; 0.67                                           
  2006;      9; 0.64                                           
  2006;     10; 0.66                                           
  2006;     11; 0.66                                           
  2006;     12; 0.76                                           
  2007;      1; 0.88                                           
  2007;      2; 0.68                                           
  2007;      3; 0.66                                           
  2007;      4; 0.76                                           
  2007;      5; 0.62                                           
  2007;      6; 0.57                                           
  2007;      7; 0.58                                           
  2007;      8; 0.55                                           
  2007;      9; 0.58                                           
  2007;     10; 0.58                                           
  2007;     11; 0.54                                           
  2007;     12; 0.46                                           
  2008;      1; 0.25                                           
  2008;      2; 0.32                                           
  2008;      3; 0.69                                           
  2008;      4; 0.5                                            
  2008;      5; 0.5                                            
  2008;      6; 0.46                                           
  2008;      7; 0.57                                           
  2008;      8; 0.52                                           
  2008;      9; 0.59                                           
  2008;     10; 0.66                                           
  2008;     11; 0.67                                           
  2008;     12; 0.58                                           
  2009;      1; 0.66                                           
  2009;      2; 0.53                                           
  2009;      3; 0.52                                           
  2009;      4; 0.55                                           
  2009;      5; 0.61                                           
  2009;      6; 0.67                                           
  2009;      7; 0.71                                           
  2009;      8; 0.68                                           
  2009;      9; 0.74                                           
  2009;     10; 0.67                                           
  2009;     11; 0.74                                           
  2009;     12; 0.68                                           
  2010;      1; 0.74                                           
  2010;      2; 0.81                                           
  2010;      3; 0.88                                           
  2010;      4; 0.85                                           
  2010;      5; 0.75                                           
  2010;      6; 0.68                                           
  2010;      7; 0.64                                           
  2010;      8; 0.62                                           
  2010;      9; 0.63                                           
  2010;     10; 0.66                                           
  2010;     11; 0.76                                           
  2010;     12; 0.5                                            
  2011;      1; 0.55                                           
  2011;      2; 0.51                                           
  2011;      3; 0.64                                           
  2011;      4; 0.65                                           
  2011;      5; 0.54                                           
  2011;      6; 0.6                                            
  2011;      7; 0.68                                           
  2011;      8; 0.68                                           
  2011;      9; 0.61                                           
  2011;     10; 0.64                                           
  2011;     11; 0.54                                           
  2011;     12; 0.58                                           
  2012;      1; 0.49                                           
  2012;      2; 0.51                                           
  2012;      3; 0.52                                           
  2012;      4; 0.7                                            
  2012;      5; 0.73                                           
  2012;      6; 0.68                                           
  2012;      7; 0.61                                           
  2012;      8; 0.65                                           
  2012;      9; 0.72                                           
  2012;     10; 0.76                                           
  2012;     11; 0.73                                           
  2012;     12; 0.51                                           
  2013;      1; 0.68                                           
  2013;      2; 0.58                                           
  2013;      3; 0.63                                           
  2013;      4; 0.58                                           
  2013;      5; 0.65                                           
  2013;      6; 0.7                                            
  2013;      7; 0.6                                            
  2013;      8; 0.66                                           
  2013;      9; 0.74                                           
  2013;     10; 0.65                                           
  2013;     11; 0.78                                           
  2013;     12; 0.69                                           
  2014;      1; 0.74                                           
  2014;      2; 0.57                                           
  2014;      3; 0.79                                           
  2014;      4; 0.77                                           
  2014;      5; 0.8                                            
  2014;      6; 0.7                                            
  2014;      7; 0.62                                           
  2014;      8; 0.8                                            
  2014;      9; 0.8                                            
  2014;     10; 0.76                                           
  2014;     11; 0.65                                           
  2014;     12; 0.79                                           
  2015;      1; 0.81                                           
  2015;      2; 0.85                                           
  2015;      3; 0.91                                           
  2015;      4; 0.79                                           
  2015;      5; 0.79                                           
  2015;      6; 0.83                                           
  2015;      7; 0.75                                           
  2015;      8; 0.8                                            
  2015;      9; 0.89                                           
  2015;     10; 1.03                                           
  2015;     11; 1.01                                           
  2015;     12; 1.09                                           
  2016;      1; 1.16                                           
  2016;      2; 1.31                                           
  2016;      3; 1.3                                            
  2016;      4; 1.1                                            
  2016;      5; 0.93                                           
  2016;      6; 0.81                                           
  2016;      7; 0.84                                           
  2016;      8; 0.97                                           
  2016;      9; 0.93                                           
  2016;     10; 0.84                                           
  2016;     11; 0.91                                           
  2016;     12; 0.88                                           
  2017;      1; 1.04                                           
  2017;      2; 1.11                                           
  2017;      3; 1.11                                           
  2017;      4; 0.94                                           
  2017;      5; 0.9                                            
  2017;      6; 0.77                                           
  2017;      7; 0.84                                           
  2017;      8; 0.87                                           
  2017;      9; 0.86                                           
  2017;     10; 0.9                                            
  2017;     11; 0.87                                           
  2017;     12; 0.96                                           
  2018;      1; 0.85                                           
  2018;      2; 0.91                                           
  2018;      3; 0.89                                           
  2018;      4; 0.9                                            
  2018;      5; 0.85                                           
  2018;      6; 0.79                                           
  2018;      7; 0.82                                           
  2018;      8; 0.8                                            
  2018;      9; 0.81                                           
